
 00000011
  001
# 0001010100001
. 000011
A 000101000
B 110111100
C 000101010001
D 0000001010
E 0001011111
F 000101110110
G 000101110111
H 00010101001
I 1101111010
J 00010111100
L 00010111101
M 1101111011
N 0001010101
O 0000001011
P 00010101110
Q 000101110100
R 00010101111
S 000101001
T 0001011100
U 000101110101
W 0000001000
Y 00010101100
a 1100
b 110110
c 11100
d 00011
e 101
f 010010
g 010011
h 11010
i 0111
j 0000001001
k 11011111
l 01000
m 000001
n 1000
o 1001
p 000010
q 00010101101
r 1111
s 0101
t 0110
u 11101
v 1101110
w 0000000
x 00010110
y 000100
z 0001010100000
